ids_prim	stroke	freq2_log	elms
prim	0	5	？
prim	0	-1	⻀
prim	1	6	𠃎
prim	1	1	𠃉
prim	1	-1	㇣𬼂
prim	2	6	㇅𠄎
prim	2	-1	㇎乄𠀀𠙴𠤬
prim	3	7	幺
prim	3	6	𫝀纟己犭
prim	3	5	乡及饣久
prim	3	-1	乆𠀆𢎗𪜀
prim	4	7	攵
prim	4	6	火𤣩礻牜
prim	4	5	𣥂𠀉爪
prim	4	4	乌
prim	4	-1	𠀈𠁾𠥻𡗒𢎜𣦶𣫬𤓰𬺷𭺫
prim	5	6	钅
prim	5	5	瓜⺻
prim	5	4	乐
prim	5	-1	𠂀𠃢𠥽𥝌𦉭𦫵𬺻𭼽𮍌
prim	6	6	耳𥫗𧰨
prim	6	5	⺶襾
prim	6	-1	𠂂𢌰𢎱𤰃𧰧
prim	7	7	訁
prim	7	5	豸
prim	7	2	戼
prim	7	-1	𠁧𠦒𨈏𫝕
prim	8	6	釒
prim	8	5	飠
prim	8	-1	𥸨𨳇
prim	10	-1	𨤏𩇧
prim	11	-1	𡘼
prim	12	-1	𠥓𤦡𭴺
prim	16	-1	𪚦
	0	5	⿾⺊
	0	1	⿾臣
	0	0	⿾卍
	0	-1	⿾㠯⿾乚⿾匕⿾弓⿾止⿾正⿾犭⿾邑⿾𠂤⿾𠃍⿾𦣞⿾𨸏⿿⿷⿿了⿿予⿿亚⿿凹⿿戈⿿或⿿止⿿灬⿿虎⿿见⿿隹⿿鬼
	2	7	𠂉{24}
	2	6	𰛄𠂈𠂈{100}{111}
	2	5	巜𠄐{52}{101}{30}{39}{27}
	2	-1	𠁡𠃏𠄍𠄏𬼀𰀫
	3	7	𫜹工彳彳卄𭕄
	3	6	巾也之勺勺𰛅𠫔山𰀠门门个亡亡屮屮彡巛习亍㐄㐄马䶹丬{97}{71}{108}{25}{57}{102}{23}
	3	5	𡳾么𫶧彑龵亾飞飞卂卂与与𠂎亏𠃓乞丫{45}{69}
	3	4	丈丌亐亇亇亇
	3	3	𬼽亿
	3	2	夨
	3	1	𢎘{77}
	3	0	孓刄
	3	-1	兦𠀄𠃒𠃒𠃔𠧒𠫓𠫓𡕒𡕒𡯂𡰣𣱱𪟨𫡃𫡏𬼸𰀰𱍸
	4	7	木王龶戈月龰止耂廿中从
	4	6	𱼀爫爫𰀆殳殳旡旡不不斤贝𣎳𣎳水水爿夫欠𭁟五巴车文手巨壬壬勿卝云内𡈼今今以比比比比弔元爻𫩏父气禸𠂒冃片分歹见友公井牙牙午予长尹帀𠃜肀凶
	4	5	反反𭃂𠓜內仒夬円𫧇𫜵𠬝化化兂兂厃毛六屯屯冈仑支尺允㓁介双𰀡厸𡯃斗专𱐩厄风韦书切什孔冗匹匹卬兮引冘仓办攴勾冇冇冄计厷{76}{112}
	4	4	巿亢队仍区区𡗜乏瓦瓦仁圡匂𠔿仇历匀仆凤互幻币勻㕚𠠴𠀇仅夃仌仌厅𠠵扎邓艺丐{65}{122}{72}
	4	3	卞𠂑㞢仄丏𰅭㝉亓{33}
	4	2	厹刈𠤏丮尣仃
	4	1	阞勼収仂𠆧𡿧卆𢆰亣亣勽
	4	0	㸦㸦尐尐尐尐仉卐𠚪
	4	-1	㐊㐋㐧㓀㔫㕕㕛㠪丒丒乣亖仏仐匁匁屲弌罓𠀋𠀌𠃙𠆦𠓝𠔁𠔃𠔄𠔽𠕀𠘬𠘭𠘯𠘯𠙷𠙸𠚫𠤭𠨎𠨐𠨬𠫗𠫗𠫘𠬚𠬛𠬜𠬞𠬠𡈽𡴯𢆯𢎟𣁬𣂑𣎴𣦵𣬛𣱲𣱳𤓯𤣥𥘅𥘅𥘅𥘅𪟽𫡅𬺹𬼆𬼆𬽢𭀗𭀘𭂩𭂫𭃄𭄞𭅄𭅠𭣔𰁒𱍷𱤻𲋄{105}{107}{116}{92}
	5	7	目田立立罒古
	5	6	禾戊矢矢皿未可𤴓龷用去尔业𠁤出示示示𦉫𦉫尓𦓐𢆉氺兄甘龸㠯㠯穴由冉圥𠀎占且冋正左衤衤石甲玉疒主主皮生生只句𢎨𠮡尼𠀐永永𡉀𢀖北疋冬冬癶𰃮𠀔头史加{18}
	5	5	四四台冎冎令令令𡗗宂宂发右乍本失召他𠕁申电乎世丘丘朮朮朮术对𫩑戋包包外戉龙龙司圣𦉪𦉪㕣刍叫氶匃鸟囚另㐱东丱丱叹付弗布击𠮥卉市功矛奴𠀗龱𠫝平平边半半打丙卯代夗号汉仔灭叩𠮠𠮠玄兰犮犮央处处它礼礼処末斥𦘒务𠬤宁㐌𰀢弁𠂛𦉰{53}{5}
	5	4	𠮦厉节旧丗丗丗犯𫠣训𩰊𩰊𩰋叶巧卡乐乐归归𤴔幼𫢉丝艾丛弘歺闪仙氾讨册𠂔写写帅𠙻匆夲仕卢厈奶冯冊冊𡯄印印丕汁匝甩氿{6}
	5	3	圤㲺㲺㲺札𡚬孕叱叱汇屵刊叧氹卮仞尻扒邛凷𠙽叨匛伋甴
	5	2	𡆦夰戹戹轧宄㞋叵汀囙𣱷阤匜仟仡𠬢仨𱑱仝夯𫵳凥囘尒尒
	5	1	卭艿艽弍艼尕丼叐叴艻㘝卌卌仚仢匇屳庂
	5	0	肊肊廵仛
	5	-1	㐀㐍㐲㒰㓛㓜㕥㚈㚢㞤㞧㲹亗仧仧仺冚冭冭凧刋厇厺厼叏圧夘夳屴屶庁広払氷汄辺邜𠀍𠀕𠂕𠂘𠂝𠂞𠂞𠂟𠂠𠂠𠂡𠆩𠆫𠆳𠑷𠕄𠕅𠕉𠕵𠕶𠕷𠕸𠘲𠘳𠙹𠙺𠙼𠣏𠣏𠦀𠨯𠬦𠮟𠮟𠮢𠮣𠮧𠮨𡆤𡉁𡉄𡔛𡖅𡗚𡗚𡗛𡥀𡥂𡭗𡯇𡯊𡰤𡰥𡰦𡳿𡴴𢀵𢁓𢆲𢌮𢌯𢎢𢒂𢖫𢖭𢖱𢦍𣎵𣎶𣎷𣱵𣱹𣱹𣱼𣱽𤕫𤘔𤮺𤯓𦍍𦫳𨑏𨑏𨙰𪜠𪞖𪠲𪢱𪩲𪵨𫑗𫜸𫧀𫨂𫲡𫵱𫵲𬼈𭀚𭁠𭁳𭍺𭐝𭑧𭑨𭒹𭙏𭤟𭺛𭺜𮎛𰀈𰀉𰀉𰆰𰉗𰋙𰍩𰍩𰰝𱍺𱍺𱍺𱎛𱏿𱘦{106}
	6	7	糸糸自糹糹
	6	6	米而虫𦍌𦍌艮吅亘𦥑舌舌至西覀寺寺𢆶羊羊臣好虍虍同臼有有戌䏍䏍在𭤨此合合后各𱒃衣回早成死页𠂤𠂤缶多地共老甶色𭇁佢如行亥刖𰢴{94}{51}
	6	5	圭齐因杀先先羽羽过吉关关争吕𠮷曲会会舟舟㐫吏吏军交𠅃向向安𢦏聿𭥍弚弚再次次年年龹百百亚并则名𪧷𢖻𠔉𠔉光那似舛舛朱𰁜邦邦式旨问亦亦𫇦吊血任𠯂𡰪尗守产执执执动兆兆伐囟屰屰朿仲阳当当买充戎𭷔兴企𠦏毎全全𫡑巩巩巩刑危丞江吋𱏻决夅夅机𠂢𠂢厽𦈢肉夷匈华华吂阴师师众廷廷邪𠃧孙列约𪢴尧岁收𠦄𠦄{75}{19}{70}{91}
	6	4	冰耒耒许伏件冲字红刚乑刘𫠤𫠤劦存休戍负旬贞网延延延壮汤𦣞达考考夹𡗞乔幵异异异𣎾𡵂𡵉尽尽份灰灰㓞岂夸汝庄毕设划忙农级欢戏迁爷防奸𣦼巟团朵朵匡𤰔妄压导寻奻宇汗㚏𠅇芒庆闭㐆叒夺托杂污牟伙曳亙优宅厌池伊兇艸仰尖尖吐丢𣲇朴𫥞纣𭃌伪仿伟肋肋𤯔𱐔{59}{64}{54}{90}
	6	3	扣丟丟夙吁汙迅迅迅孖轨𡰯汒尘尘竹竹竹匠芝肌肌闯𠕽朽𫠥迈阮劣穵穵𭴁帆邢弛汲旭阪囡祁祁𠇍伎汜吒兊芍玑𠫤伞芊扛刎汎牝牝芋迄乒
	6	2	纥䏌䏌吆𥘈芑𠦂𠦂邠岌圳䇂㫃汐芃圮扱芎犴㫐汏屾𤆌圯囝伇汋汋𢀛弜㐁奼㢟㢟朶
	6	1	伢圶芌𠂬圪汚気𡉉𡉉圩芓𡿪玎両㡯㔻㠩犳甪𠕋𠕋芏汛汛汛汛凼伝肎肎肎㓝汍汍𱄿㬰芇尥尥㕄㲽彶朹芅𦍋
	6	0	忈氽芉汆夵刕𰋷
	6	-1	㐂㐪㐼㒲㓇㓙㕂㕦㚐㚣㜽㞌㞍㞪㞬㞭㣼㱏丠仼伒伩凩凪卋厊叿吇圫圴圴夛夶夻岀帇庅弎忛旫汑汣灮灳犱犱犱癿芆芆芕阥阩𠀘𠀚𠀚𠀜𠀜𠀠𠁦𠂥𠂨𠂨𠃤𠃨𠄢𠄣𠆸𠇊𠇏𠇔𠑹𠑹𠕌𠕎𠕻𠕾𠕿𠖲𠘺𠘻𠚁𠚃𠚃𠚾𠛄𠠼𠣓𠤮𠤱𠦃𠦃𠦅𠦍𠧗𠨺𠨾𠨿𠫡𠫣𠫣𠬩𠬪𠮮𠮯𠮰𠮲𠮲𠮳𠮵𠯃𠯄𠯇𠯇𠯊𡆩𡆪𡆫𡆬𡉊𡉐𡉑𡉓𡉖𡔜𡕖𡕟𡖇𡖈𡖉𡗝𡗡𡗢𡚯𡚯𡚱𡚴𡚺𡚺𡚺𡥄𡦾𡦿𡧄𡧄𡧇𡧊𡯎𡰫𡰮𡰮𡰱𡰲𡴀𡴂𡵃𡵄𡵆𡿩𡿫𢁙𢁝𢁟𢇛𢌜𢌜𢑐𢑑𢓁𢖶𢗀𢦑𢨩𢨩𢩭𢪀𢪀𣁁𣂒𣅀𣎺𣎼𣎽𣏀𣦺𣫭𣲂𣲆𤆅𤆆𤆋𤆋𤆋𤕭𤘖𤜭𥝍𦓤𦥒𦥓𦫷𦫼𦫿𨙺𨚌𨸀𨸢𪜌𪞘𪟩𪢶𪤷𪥤𪩣𪫆𪱙𪵩𪵪𫝁𫝢𫡓𫤫𫥁𫧍𫧏𫭙𫯜𫰉𫲵𫹭𫾦𬇗𬐃𬔖𬻀𬻄𬻻𬼉𬼉𬽄𬽪𭁆𭅰𭆙𭆨𭆽𭍽𭑃𭗼𭘑𭘑𭘒𭥌𭥎𭨘𭭽𭸵𭺽𮉼𮎜𮓱𮕤𮦄𰁦𰃝𰅰𰅱𰆗𰌵𰏒𰗑𰦒𱐕𱒅𱛇𱜢𱜢𱝼𱤽{104}{118}{81}{96}
	7	7	言貝𦣻𦣻
	7	6	車系系我我吾見里豆走酉酉豕辛辛𠕒𧾷𥃭兌兑来谷皀𱥯𱥯寽寽角角巠身身良良束君阿
	7	5	声呀弟弟你你但时即釆䖝求余余更辰足甬条没沒甫囬矣兵住肖肖肖告男旲完𫠩呂两免免步每却孝间𭚧何呙利伯囱囱快赤赤近还呈呈呈听吳丽丽㐬佥连忍员呆𣏂𣏂别巫应吴吴𫲽镸位张作坐坐秀壯別奂吿进把夆夆夾邑串決冏冏𫲸体希志远灵灵囪𠤕坚陈呑宋夋夋乱改助李𰆘折找旱𠬶𠬶攻孚形{12}{55}{47}{21}{74}{40}{62}
	7	4	㫗沙严初低𦥔𦥔㣊㣊报冷戒穷花花围鸡否𦉬𰤲𠰅犹芷附克克投况困含医医𬎿坒局县怀𦔮寿𱥻妟纯尾皃灾亨孛㦮杨沉启启弄私弃劳呉呉忘闲𦣝𬌪床估麦财块肙肙狂劫伸迎犾库㳄攸狄妥圼苏𰢵坏𰙜园补层亩材劲贡災技祀祀㝴阻岛沈吞佛纳沖扶吻吹芳杜社社抗抓纷扮𭻾忌苋究究茾茾茾序㫖妙役𭕆龟佐抛甹沟扯村羌羌闰抖努𡕙宏闷牢秃禿壳壳壳吟沐伴洰彷杖批抑肠庐庐邯尿岑坎卵{79}
	7	3	冝芸屁均均泛佔沛沛汪肚肚闵抄佞𥃦坠沃判判妨坟肝肝牡坑佑芬灶邵佗杆岐冶妍吝辵阼忤杏芮芮刪坊彤罕罕甸𢗰陀芥芙邱忒陂𤆍纽汾岗尨尨尨汶吠卤灸芯㚒匣抉庇兕汨删删灼灼妞皁丣丣肘肘肜肜扳妓沁杉芦芦纺佘佘芽沂芭劭杠孜
	7	2	扼忡皂皂汰沅囧囧妊伽巵芩町芹伶伶厎坂沔沔狃呎𥎦芈劬忮芟圻卣汭汭芴旰𫹍玖𠯭杓杓芾芰汩汩汧汧忸灷囤尪沚芣肓肓抌芼㒵芺𡉼抇抇沕沪沪沪吽沄㶣彣芘芫䀏㕯㕯杘戻戻戻
	7	1	𢌳劯芧芡坌刜陁苁旳汵㞷㞷㞷㹞尫芚𣧄汞佉岜佋宎抈杗汦汸売売芪岙芶乕㓠㔷伿兎兎宐宐宐斈𫔮𫝹㤋芿𠯑𠯳糺糺㺯卲芠戺戺亜伹労呌圽妢帍帍庈弅扲攺汱耴耴苂陃𡵳
	7	0	肟肟𫔭扽
