		
⊖		
⿰		
⿱		
⿲		
⿳		
⿴		
⿵		
⿶		
⿷		
⿸		
⿹		
⿺		
⿻		
？		
一	一	一
㇒	㇒	㇒
丶	丶	丶
丨	丨	丨
丿	丿	丿
亅	亅	亅
乚	乚	乚
𠃌	𠃌	𠃌
乛	乛	乛
𠃍	𠃍	𠃍
𠄌	𠄌	𠄌
𠃊	𠃊	𠃊
𠃋	𠃋	𠃋
㇄	㇄	㇄
㇀	㇀	㇀
乀	乀	乀
㇏	㇏	㇏
㇇	㇇	㇇
乁	乁	乁
⺄	⺄	⺄
㇈	㇈	㇈
乙	乙	乙
𡿨	𡿨	𡿨
𠃑	𠃑	𠃑
㇉	㇉	㇉
㇂	㇂	㇂
㇝	㇝	㇝
↔乚		↔乚
㇣	㇣	㇣
𠃉	𠃉	𠃉
𠃎	𠃎	𠃎
𬼂	？	
亻	⿱㇒丨	㇒丨
人	人	人
𠂇	⿻一丿	𠂇
𠂇	⿻㇒一	𠂇
八	⿰丿㇏	八
八	⿰丿乁	八
又	又	又
阝	阝	阝
丆	⿱一丿	一丿
丆	⿱一㇒	一丿
亠	⿱丶一	丶一
亠	⿱丨一	丶一
𠆢	𠆢	𠆢
十	⿻一丨	十
𠂉	⿰㇒一	㇒一
丷	⿰丶㇒	丷
刂	⿰丨亅	刂
二	⿱一一	二
冂	冂	冂
力	⿻𠃌丿	力
卜	卜	卜
{88}	⿵𠆢一	{88}
厶	⿰𠃋丶	𠃋丶
匕	⿺乚㇒	匕
匕	⿺乚一	匕
儿	⿰丿乚	儿
了	⿱乛亅	了
讠	讠	讠
⺆	⺆	⺆
冖	冖	冖
凵	凵	凵
刀	⿹𠃌丿	刀
丁	⿱一亅	一亅
⺊	⺊	⺊
入	入	入
㐅	㐅	㐅
𠄠	⿱一一	𠄠
厂	⿱一丿	厂
丅	⿱一丨	一丨
丅	⊖下丶	一丨
⺈	⺈	⺈
冫	⿱丶㇀	冫
九	九	九
⺀	⺀	⺀
𬺰	⿻一亅	𬺰
𬺰	⊖才㇒	𬺰
乜	乜	乜
卩	卩	卩
乂	乂	乂
匚	匚	匚
几	⿰丿㇈	几
丩	⿰𠄌丨	丩
{22}	⿺㇉一	{22}
龴	⿱乛丶	乛丶
勹	⿰㇒𠃌	㇒𠃌
𠤎	⿻乚㇒	𠤎
匸	匸	匸
廴	廴	廴
丄	⿱丨一	丨一
丄	⊖上一	丨一
七	⿻乚一	七
{100}	{之下}	{100}
𠂆	⿱㇒丿	𠂆
𠘨	⿰丿⺄	𠘨
𠄟	⿱一一	𠄟
丂	⿱一㇉	一㇉
𰛄	⿰㇇亅	㇇亅
𰛄	⊖水{24}	㇇亅
{24}	{水左}	{24}
𰆊	⿹𠃌丨	𰆊
{50}	コ	{50}
{49}	リ	{49}
乃	⿹𠄎丿	乃
{14}	{ユ}	{14}
𠘧	⿰丿㇅	𠘧
𰀪	⿱㇒㇒	𰀪
𠄐	⿱乛亅	乛亅
{52}	{马}	{52}
𠀁	⿻一㇉	一㇉
{84}	{厂}	{84}
{27}	{幺}	{27}
𠄎	𠄎	𠄎
𠂊	⿰丿㇇	丿㇇
{39}	{匚}	{39}
