{1}			⿹⿺㇉一灬	bottom of 廌焉舃
{2}			⿱⺈𫩏	top of 免象
{3}			⿱⺈⿵冂人	top of 夐
{4}			⿱⿻⿰丨丨丷冖	top of 䝉𫎇
{5}			？	left of 叚
{6}			？	left of 段
{7}			？	top of 專惠
{8}			⿻⿱㇒一乚	right of 扥
{9}			⿱⿰㇒㇖丨	right of 𪟳𪝪
{10}			⿻⿻㇈丿丶	right of 巩 [T source glyph]
{11}			⿰⿱丶㇀⿱㇒丶	bottom of 軣
{12}			？	right of 龍
{13}			⿸⿰丿⿱⺊⺂七	outside of 虍
{14}			？	top of 𡕡
{15}			⿻𱍸㇒	bottom-right of 旅
{16}			⿲⿺𠄌⺀⿺𠄌⺀㇂	bottom of 鼠
{17}			？	left of 剆 [G source glyph]
{18}			？	left of 即
{19}			？	right of 㤤
{20}			丸	right of 執 [G source glyph]
{21}			？	top of 祭豋
{22}			⿺㇉一	outside of 与
{23}			？	inside of 與
{24}			？	right of 水
{25}			？	bottom
{26}			？	top of 韲
{27}			？	bottom of 𤣥
{28}			⿻弋一	outside of 武貮
{29}			⿻弋𢆶	outside of 幾畿
{30}			？	top of 彔
{31}			⿴囗⿻𰀪丶	bottom of 卥
{32}			⿱⿻𠮛⿰丨丨冖	top of 𣓝
{33}			？	bottom of 雋
{34}			⿹勹丿	bottom of 䇖
{35}			⿻几𠄠	right of 𠖵
{36}				top of 𠢘㥑
{37}			⿱⺊冖	top of 睿
{38}			⿱𰀉冖	top of 橐
{39}			？	left of 卬
{40}			？	right of 𩤷
{41}			⿻𦉫𠄠	left of 𠜂 [T-form of 𠕋]
{42}			彐	top of 录
{43}			⺕	top of 㚑
{44}			⿱十冖	top of 孛
{45}			？	left of 北 [G source glyph]
{46}			⿻日乚	bottom of 竜
{47}			？	outside of 鳥島
{48}			㐄	bottom of 年 [J-form of 㐄]
{49}			⿰丨丿	left of 帅
{50}			？	top right of 叚
{51}			？	outside of 馬
{52}			？	outside of 马
{53}			？	outside of 鸟岛
{54}			？	outside of 烏
{55}			？	outside of 鹿慶
{56}			？	top of 無
{57}			？	outside of 在
{58}			⿰{39}丶	top left of 留
{59}			？	bottom of 舄
{60}			？	outside of 龜 [H source glyph]
{61}			？	outside of 臧
{62}			？	bottom of 華
{63}			舟	left of 𦩳
{64}			？	bottom left of 龜 [G source glyph]
{65}			？	bottom right of 龜 [G source glyph]
{66}			？	bottom right of 𪚴
{67}			⿴⿰丨丨𠄠	middle of 髙 and 𠅘
{68}			？	top of 黑
{69}			？	outside of 戠
{70}			？	inside of 虛
{71}			？	left of 𦥑
{72}			？	left of 印 [G source glyph]
{73}			⿴𠀃三	top of 具
{74}			？	middle of 鄕 [J source glyph]
{75}			？	bottom left of 爵 [K source glyph]
{76}			？	top of 長
{77}			？	top of 㒫
{78}			⿱⿻口⿰丨丨一	亜 without the top stroke
{79}			？	亞 without the top stroke
{80}			⿱冖八	top of 罙 [G source glyph]
{81}			？	inner part of 𮭷
{82}			⿱𦘒一	top of 書
{83}			⿳亠丷冖	top of 帝
{84}			⿰丿乛	厂 with hooked stroke
{85}			⿰丿⿱丶乛	广 with hooked stroke
{86}			⿲丶丶丶	first three strokes of 灬
{87}			⿳亠口冖	top of 亭
{88}			⿵𠆢一	top of 合
{89}			？	outside of 𪚧
{90}			？	core of 龜 [G source glyph]
{91}			？	core of 黽
{92}			？	core of 𪚧
{93}			⿻昌乚	right of 縄
{94}			？	top of 其
{95}			⿻尸一	bottom of 𢀞
{96}			？	outside of 𭾐
{97}			？	bottom right of 𮊫 or right of 戠 without horizontal stroke
{98}			⿻一曲	top of 曹
{99}			⿻𦉫𠄠	top of 𢘼
{100}			？	之 without top stroke
{101}			？	left of 癶
{102}			？	right of 癶
{103}			？	top right of 祭
{104}			？	top right of 𥋮
{105}			？	top right of 𨄛
{106}			？	top of 𡛹
{107}			？	middle of 𡙌
{108}			？	top of 冎 [G source glyph]
{109}			⿻⿱㇒一丿	left of 刋
{110}			冂	outside of 𭁟
{111}			？	inside of 𭁟
{112}			？	outside of 𦥓
{113}			⿵冂八	bottom of 𠕉
{114}			⿱土八	top of 坴 [G source glyph]
{115}			⿻𰀪⺀	top of 𫭣
{116}			？	inside top of 鹿慶
{117}			⿺𠃊⺊	inside of 𠣏 [G source glyph]
{118}			？	outside of 𠁅
{119}			⿻己⿱工工	right of 𥛈
{120}			⿻弓⿱{50}匚	right of 𤛒 without 口
{121}			⿱⺈罒	top of 𣬋
⊖			
⿰			
⿱			
⿲			
⿳			
⿴			
⿵			
⿶			
⿷			
⿸			
⿹			
⿺			
⿻			
？			
一	㇐		一
㇒	㇒		㇒
丶	丶		丶
丨	丨		丨
丿	丨		丿
亅	丨		亅
乚	丨		乚
𠃌	㇇		𠃌
乛	㇇		乛
𠃍	㇇		𠃍
𠄌	丨		𠄌
𠃊	ㄥ		𠃊
𠃋	ㄥ		𠃋
㇄	ㄥ		㇄
㇀	㇐		㇀
乀	㇏		乀
㇏	㇏		㇏
㇇	㇇		㇇
乁	⺄		乁
⺄	⺄		⺄
㇈	⺄		㇈
乙	⺄		乙
𡿨	ㄥ		𡿨
𠃑	弓		𠃑
㇉	弓		㇉
㇂	丨		㇂
㇝	丨		㇝
↔乚			
㇣			㇣
𠃉			𠃉
𠃎			𠃎
𬼂			？
亻			⿱㇒丨
人	ル		人
𠂇	十		⿻一丿
𠂇	十		⿻㇒一
八	ル		⿰丿㇏
八	ル		⿰丿乁
又	ㄡ		又
阝	ア		阝
丆			⿱一丿
丆			⿱一㇒
亠			⿱丶一
亠			⿱丨一
𠆢	ル		𠆢
十	十		⿻一丨
𠂉	??		⿰㇒一
丷	ル		⿰丶㇒
刂	ル		⿰丨亅
二	二		⿱一一
冂	ㄇ		冂
力	力		⿻𠃌丿
卜	⺊		卜
厶			⿰𠃋丶
匕	七		⿺乚㇒
匕	七		⿺乚一
儿	ル		⿰丿乚
了	了		⿱乛亅
讠	弓		讠
⺆	ㄇ		⺆
冖	ㄇ		冖
凵	ㄩ		凵
刀	力		⿹𠃌丿
丁			⿱一亅
⺊	⺊		⺊
入	ル		入
㐅	ㄨ		㐅
𠄠	二		⿱一一
厂	ㄏ		⿱一丿
丅			⿱一丨
丅			⊖下丶
⺈	;	𠂊	⺈
冫	二		⿱丶㇀
九	カ		九
⺀	二		⺀
𬺰	十		⿻一亅
𬺰	十		⊖才㇒
乜	也		乜
卩	ㄇ		卩
乂	ㄨ		乂
匚	ㄈ		匚
几	ㄇ		⿰丿㇈
丩	ㄩ		⿰𠄌丨
龴			⿱乛丶
勹			⿰㇒𠃌
𠤎	七		⿻乚㇒
匸	ㄈ		匸
廴	㇇ ㇇ ㇐ 		廴
丄			⿱丨一
丄			⊖上一
七	七		⿻乚一
𠂆	ㄏ		⿱㇒丿
𠘨	ㄇ		⿰丿⺄
𠄟	二		⿱一一
丂			⿱一㇉
𰛄			⿰㇇亅
𰛄			⊖水{24}
𰆊	ア		⿹𠃌丨
乃	ア		⿹𠄎丿
𠘧	ㄇ		⿰丿㇅
𰀪	二		⿱㇒㇒
𠄐			⿱乛亅
𠀁			⿻一㇉
𠄎			𠄎
𠂊			⿰丿㇇
刁			⿹𠃌㇀
巜			⿰𡿨𡿨
𫠠	七		⿻㇐㇂
𫠠	七		⊖弋丶
↔⺊			
↔匕			
↷了			
㇅			㇅
㇋			㇋
㇎			㇎
乄			乄
𠀀			𠀀
𠁡			⿰丨𠃍
𠂈			⿰𠄌丿
𠂈			⿰𠃊丿
𠃏			⿰𠄌乚
𠄍			⿰𠄌亅
𠄏			↷了
𠙴			𠙴
𠤬			𠤬
𬼀			⿱丶㇒
𰀫			⿰丿㇈
𰍧			⿰㇒亅
𰍧			⊖小丶
𰍨			⿰亅丶
𰍨			⊖小㇒
口	ロ		口
扌	丰		⿻𬺰㇀
土			⿱十一
辶	㇇ ㇐		辶
氵	三		氵
囗	ロ		囗
女	ㄡ		女
勺			⿹勹丶
勺			⿹勹一
宀			⿱丶冖
大	大		⿻一人
彳			⿱𰀪丨
彳			⿱㇒亻
子			⿻了一
寸			⿹𬺰丶
也	也		⿻乜丨
工			⿱丅一
广			⿱丶厂
艹			⿻一⿰丨丨
艹			⿰十十
夕			⿴𠂊丶
小	小		⿲㇒亅丶
忄	小		忄
三	三		三
巾			⿻冂丨
𰀁	丰		⿻二丨
纟	;	⿳𠃋𠃋㇀	纟
己	;	⿱コ乚	己
上			⿱⺊一
亍			⿱一丁
幺	;	⿽𠃋厶	幺
尸			⿰丿{50}
亡			⿱亠𠃊
亡			⿱亠㇄
𠫔			⿱一厶
屮			⿻凵丨
屮			⿻凵丿
㐄			⿻⿱一𠃋丨
㐄			{48}
夂	ㄡ		夂
门			⿲丨丶𠃌
门			⿻冂丨
下			⿱一卜
弓	弓		⿱{50}㇉
士			⿻一丄
士			⿱十一
万	一 [力]		⿸丆𠃌
山			⿶凵丨
𡭔	小		⿲㇒丨丶
干			⿱一十
𫜹			⿻{50}一
巳	卩 		巳
彡			⿳㇒㇒㇒
夊	ㄡ		夊
个			⿱𠆢丨
兀			⿱一儿
弋			⿺𫠠丶
及			及
⺌	小		⺌
川			⿲丿丨丨
丬			⿰冫丨
才			⿹𬺰㇒
才			⿻𬺰㇒
之			⿱丶{100}
𫝀			⊖五一
廾			⿻一⿰丿丨
犭			犭
𰃦			⿱㇒冂
龵			⿱㇒⿻二丿
习			⿹𠃌冫
于			⿱一𬺰
已	ㄗ		已
马			⿹{52}一
与			⿹{22}一
与			⿻{22}一
𰛅			⿰亅{24}
𰛅			⊖水㇇
𠂋			⿸𠂆一
