element	sub_ids	regions	elm_type	stroke	freq	freq1
？	.	.		0.0	0.0	64155.91666666667
⿼	.	.		0.0	0.0	71.95
⿾⺊	.	.		0.0	0.0	55.8
⿾臣	.	.		0.0	0.0	41.8
⿾卍	.	.		0.0	0.0	1.3
⻀	.	.		0.0	0.0	0.0
⿾㠯	.	.		0.0	0.0	0.0
⿾乚	.	.		0.0	0.0	0.0
⿾匕	.	.		0.0	0.0	0.0
⿾弓	.	.		0.0	0.0	0.0
⿾止	.	.		0.0	0.0	0.0
⿾正	.	.		0.0	0.0	0.0
⿾犭	.	.		0.0	0.0	0.0
⿾邑	.	.		0.0	0.0	0.0
⿾𠂤	.	.		0.0	0.0	0.0
⿾𠃍	.	.		0.0	0.0	0.0
⿾𦣞	.	.		0.0	0.0	0.0
⿾𨸏	.	.		0.0	0.0	0.0
⿿⿷	.	.		0.0	0.0	0.0
⿿了	.	.		0.0	0.0	0.0
⿿予	.	.		0.0	0.0	0.0
⿿亚	.	.		0.0	0.0	0.0
⿿凹	.	.		0.0	0.0	0.0
⿿戈	.	.		0.0	0.0	0.0
⿿或	.	.		0.0	0.0	0.0
⿿止	.	.		0.0	0.0	0.0
⿿灬	.	.		0.0	0.0	0.0
⿿虎	.	.		0.0	0.0	0.0
⿿见	.	.		0.0	0.0	0.0
⿿隹	.	.		0.0	0.0	0.0
⿿鬼	.	.		0.0	0.0	0.0
一	('一',)	('GHTJKPV',)		1.0	2321002.7	24616710.664999973
丶	('丶',)	('GHTJKP',)		1.0	113.8	19372150.129999984
㇒	.	.		1.0	0.0	12043385.649999997
丨	('丨',)	('GHTJKP',)		1.0	226.3	11045526.323333317
丿	('丿',)	('GHTJKPV',)		1.0	195.7	6208088.524999999
亅	('亅',)	('GHTJKP',)		1.0	130.8	3681935.4833333343
𠃍	('𠃍',)	('HK',)		1.0	0.0	3311019.6500000004
𠃌	('𠃌',)	('GHV',)		1.0	0.0	3156332.3250000007
乚	('乚',)	('GHTJ',)		1.0	125.5	2718338.1333333324
𠄌	('𠄌',)	('GHT',)		1.0	0.0	2316347.0999999996
乛	('乛',)	('GHK',)		1.0	0.0	2090829.8333333326
𠃋	('𠃋',)	('GHT',)		1.0	0.0	863318.4166666664
𠃊	('𠃊',)	('GHV',)		1.0	0.0	744550.4999999999
乀	('乀',)	('GTJKP',)		1.0	55.8	506839.75000000006
⺄	.	.		1.0	0.0	475960.05000000016
㇈	.	.		1.0	0.0	327558.30000000005
㇄	.	.		1.0	0.0	274948.96666666673
㇀	.	.		1.0	0.0	159790.15
㇇	.	.		1.0	0.0	126754.25
㇏	.	.		1.0	0.0	106813.96666666667
𠃑	('𠃑',)	('HT',)		1.0	0.0	85522.1
乙	('乙',)	('GHTJKPV',)		1.0	21231.2	80605.54999999999
乁	('乁',)	('GTJK',)		1.0	69.7	69746.1
𡿨	('𡿨',)	('GHT',)		1.0	0.0	69110.65
㇉	.	.		1.0	0.0	25326.250000000004
㇂	.	.		1.0	0.0	2743.5
𠃎	('𠃎',)	('K',)		1.0	0.0	27.9
𠃉	('𠃉',)	('GTP',)		1.0	0.0	6.95
㇝	.	.		1.0	0.0	3.6
㇣	.	.		1.0	0.0	0.0
𬼂	('？',)	('J',)		1.0	0.0	0.0
亻	('⿱㇒丨',)	('GHJK',)		2.0	17.5	16866686.81666666
人	('人',)	('GHTJKPV',)		2.0	2348288.1	8115965.550000004
八	('⿰丿㇏', '⿰丿乁')	('GHT', 'JKPV')		2.0	139338.4	5630894.7333333315
阝	('阝',)	('GHTJK',)		2.0	9.8	5411443.21666667
讠	('讠',)	('GH',)		2.0	0.0	4751865.600000006
又	('又',)	('GHTJKPV',)		2.0	531823.2	4671328.866666668
刂	('⿰丨亅',)	('GHTJK',)		2.0	37.8	4186674.283333332
丆	('⿱一丿', '⿱一㇒')	('GK', 'X')		2.0	0.0	3933235.733333334
力	('⿻𠃌丿',)	('GHTJKPV',)		2.0	305203.4	3768011.4999999977
𠂇	('⿻一丿', '⿻㇒一')	('GT', 'H')		2.0	0.0	3475310.2500000005
𠆢	('𠆢',)	('J',)		2.0	0.0	3369349.9333333336
冂	('冂',)	('GHTJKP',)		2.0	502.5	3277187.703333334
卜	('卜',)	('GHTJKPV',)		2.0	20808.7	3241845.0499999993
二	('⿱一一',)	('GHTJKPV',)		2.0	422611.7	2818695.4333333345
十	('⿻一丨',)	('GHTJKPV',)		2.0	552026.7	2775287.7333333334
丷	('⿰丶㇒',)	('GHK',)		2.0	0.0	2750448.5250000004
亠	('⿱丶一', '⿱丨一')	('GHTKP', 'J[K]')		2.0	0.0	2679150.05
厶	('⿰𠃋丶',)	('GHTJKP',)		2.0	223.6	2548534.8666666658
勹	('⿰㇒𠃌',)	('GHTJKP',)		2.0	251.0	2266369.0666666673
𠂉	('⿰㇒一',)	('GJV',)		2.0	0.0	2014274.3666666662
乜	('乜',)	('GHTJKP',)		2.0	100666.1	1963145.5
儿	('⿰丿乚',)	('GHTJKP',)		2.0	148579.0	1960800.0333333327
冖	('冖',)	('GHTJKP',)		2.0	42.9	1850111.0999999985
匕	('⿺乚㇒', '⿺乚一')	('GHJKP', 'T')		2.0	4885.5	1746261.6333333333
丁	('⿱一亅',)	('GHTJKPV',)		2.0	40051.9	1455792.4333333329
⺊	.	.		2.0	0.0	1378800.2000000002
凵	('凵',)	('GHTJKP',)		2.0	57.8	1348573.25
了	('⿱乛亅',)	('GHTJKPV',)		2.0	1512173.4	1308914.7000000002
⺀	.	.		2.0	0.0	1302404.4
𬺰	('⿻一亅', '\u31ef才㇒')	('J', 'X')		2.0	0.0	1279758.95
⺆	.	.		2.0	0.0	1141131.4833333334
冫	('⿱丶㇀',)	('GHTJKP',)		2.0	13.9	994158.9
厂	('⿱一丿',)	('GHTJKP',)		2.0	9005.3	800448.8166666668
刀	('⿹𠃌丿',)	('GHTJKPV',)		2.0	60861.9	787906.5749999998
㐅	('㐅',)	('GTJ',)		2.0	0.0	774379.9749999999
入	('入',)	('GHTJKPV',)		2.0	407351.8	740548.4500000003
⺈	.	.		2.0	0.0	672412.9416666665
卩	('卩',)	('GHTJKP',)		2.0	115.6	653114.25
丅	('⿱一丨', '\u31ef下丶')	('GTJ', 'X')		2.0	13.9	614742.483333333
𠄠	('⿱一一',)	('T',)		2.0	0.0	591228.25
乂	('乂',)	('GHTJKPV',)		2.0	1692.6	568565.3333333334
匚	('匚',)	('GHTJKP',)		2.0	310.6	430441.9000000001
𠘨	('⿰丿⺄',)	('JV',)		2.0	0.0	425156.99999999994
几	('⿰丿㇈',)	('GHTJKPV',)		2.0	318090.3	414575.2916666668
丩	('⿰𠄌丨',)	('GTJP',)		2.0	278.9	342048.5000000001
九	('九',)	('GHTJKPV',)		2.0	137111.3	318882.4166666668
龴	('⿱乛丶',)	('GU',)		2.0	0.0	312544.85
𰆊	('⿹𠃌丨',)	('U',)		2.0	0.0	271047.3
𠂆	('⿱㇒丿',)	('GHT',)		2.0	0.0	244255.26666666666
丂	('⿱一㇉',)	('GTJ',)		2.0	237.1	220947.20000000004
𠄎	('𠄎',)	('GHT',)		2.0	0.0	208237.5
丄	('⿱丨一', '\u31ef上一')	('GHTJ', 'X')		2.0	69.7	188433.65
𠤎	('⿻乚㇒',)	('GTP',)		2.0	0.0	160773.1333333333
廴	('廴',)	('GHTJKP',)		2.0	112.5	148504.2
𠄟	('⿱一一',)	('GT',)		2.0	0.0	127322.55
𰛄	('⿰㇇亅', '\u31ef水{24}')	('B', 'X')		2.0	0.0	126754.25
𰀪	('⿱㇒㇒',)	('S',)		2.0	0.0	101144.83333333334
乃	('⿹𠄎丿',)	('GHTJKPV',)		2.0	208237.5	93446.39999999997
