	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
0	⿱	⿱	.	idc	0	3748058975.8999996	7135	('⿱', '丁', '丂', '丄', '丅', '丆', '丆', '上', '下', '丌', '丏', '丐', '丒', '丒', '专', '丕', '丗', '丗', '丘', '丙')
1	⿰	⿰	.	idc	0	2083244285.425	7103	('⿰', '丌', '不', '丏', '业', '丝', '丣', '丣', '丣', '丣', '丩', '丬', '丱', '丱', '丱', '丱', '丱', '丳', '丷', '丽')
2	一	一	GHTJKPV		1	3514932624.3166666	6872	('一', '丁', '丂', '七', '七', '丄', '丅', '丆', '丆', '上', '下', '丌', '与', '与', '丐', '丒', '丒', '专', '丕', '丗')
3	丨	丨	GHTJKP		1	1630097703.2749999	5779	('丨', '丄', '丅', '丌', '不', '丑', '丗', '丗', '丗', '丘', '业', '业', '丣', '丩', '个', '丫', '丬', '中', '丯', '丰')
4	⿻	⿻	.	idc	0	1537855989.6866667	5680	('⿻', '七', '七', '丈', '不', '与', '丑', '专', '世', '丗', '丗', '丗', '业', '东', '东', '両', '丣', '两', '丧', '中')
5	丶	丶	GHTJKP		1	1143524922.7	4480	('丶', '不', '专', '临', '丷', '丸', '丸', '丹', '为', '为', '主', '丼', '丽', '丽', '丽', '丽', '义', '之', '乓', '书')
6	㇒	㇒	.		1	992859291.5266666	4429	('㇒', '丆', '丘', '丢', '丰', '丷', '乇', '乇', '乇', '么', '乊', '乏', '乐', '乑', '乒', '亇', '亇', '亻', '俾', '先')
7	丿	丿	GHTJKPV		1	591461847.8933333	3335	('丿', '丆', '丌', '丣', '严', '丱', '丳', '乃', '乔', '井', '亣', '亦', '亷', '介', '伵', '俛', '俾', '儿', '兂', '兂')
8	十	⿻一丨	GHTJKPV		2	447848937.75333333	3326	('十', '亁', '什', '仐', '伞', '俾', '傘', '克', '兙', '凖', '卂', '卂', '千', '卆', '午', '卉', '卋', '华', '华', '协')
9	⿴	⿴	.	idc	0	337283897.36	2666	('⿴', '且', '丼', '亙', '伵', '兠', '叉', '叟', '囙', '囚', '四', '四', '囜', '囝', '回', '因', '囡', '团', '団', '囤')
10	口	口	GHTJKPV		3	310743710.26666665	2470	('口', '中', '亜', '亨', '享', '侃', '俗', '俛', '倉', '倉', '倜', '兄', '免', '兎', '兎', '兔', '兔', '冋', '冏', '冕')
11	囗	囗	GHTJKP		3	209093170.675	2208	('囗', '伵', '囙', '囚', '四', '四', '囜', '囝', '回', '因', '囡', '团', '団', '囤', '囥', '囦', '囨', '囩', '囫', '囬')
12	亅	亅	GHTJKP		1	209999223.875	1735	('亅', '丁', '了', '亇', '亇', '争', '亊', '事', '亦', '亦', '刂', '寜', '小', '彔', '录', '忁', '手', '様', '沗', '泰')
13	⿸	⿸	.	idc	0	250316904.33333334	1674	('⿸', '万', '不', '丐', '乍', '乕', '亷', '仄', '俛', '倉', '倉', '傉', '兂', '兂', '免', '兎', '兏', '兔', '兔', '冇')
14	二	⿱一一	GHTJKPV		2	142606457.30666667	1441	('二', '乍', '乕', '云', '井', '亖', '亖', '亗', '些', '亝', '仁', '侫', '兂', '勻', '嘷', '嘷', '垂', '夫', '夳', '屬')
